time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
46352,769,693,554,215,25,34
46484,769,692,555,215,25,34
46614,769,693,555,215,25,34
46745,768,693,556,215,25,34
46876,769,693,556,215,25,34
47008,768,693,555,215,25,34
47139,769,693,556,215,25,34
47270,769,693,555,215,25,34
47401,769,693,555,215,25,34
47532,768,693,555,215,25,34
47663,769,693,555,214,25,34
47794,768,693,555,214,25,34
47925,769,693,555,215,25,34
48056,769,693,555,215,25,34
48183,768,693,556,215,25,34
48318,769,693,555,215,25,34
48449,769,693,555,215,25,34
48580,768,692,555,215,25,34
48711,768,693,556,215,25,34
48842,769,692,556,215,25,34
48973,768,693,554,215,25,34
49104,769,692,555,215,25,34
49236,769,693,556,214,25,34
49363,769,693,555,215,25,34
49498,768,693,556,215,25,34
49629,769,692,555,214,25,34
49760,769,692,555,215,25,34
49891,769,692,555,214,25,34
50022,769,692,555,215,25,34
50153,769,693,555,215,25,34
50284,769,692,555,215,25,34
50415,769,692,555,215,25,34
50542,769,693,555,215,25,34
50677,768,692,555,215,25,34
50809,768,692,555,214,25,34
50940,769,693,555,215,25,34
51071,768,693,555,215,25,34
51202,769,693,555,214,25,34
51333,768,693,555,214,25,34
51464,769,693,555,215,25,34
51591,768,692,555,215,25,34
51722,769,693,555,214,25,34
51857,769,692,555,215,25,34
51988,769,693,555,214,25,34
52119,769,692,555,214,25,34
52250,769,692,555,214,25,34
52381,768,692,555,215,25,34
52512,768,692,555,215,25,34
52643,769,693,555,214,25,34
52770,769,693,554,215,25,34
52901,769,693,555,214,25,34
53037,769,692,556,214,25,34
53168,769,693,555,214,25,34
53299,768,692,555,215,25,34
53430,769,692,556,215,25,34
53561,769,692,556,215,25,34
53692,769,693,555,215,25,34
53819,769,692,555,214,25,34
53950,769,693,555,215,25,34
54081,768,693,555,214,25,34
54216,769,693,555,215,25,34
54347,769,692,555,215,25,34
54478,769,693,555,215,25,34
54609,768,692,555,215,25,34
54740,769,693,556,215,25,34
54872,768,693,555,214,25,34
54999,768,693,556,215,25,34
55130,769,693,555,215,25,34
55261,769,693,556,214,25,34
55396,769,693,555,214,25,34
55527,768,693,555,215,25,34
55658,768,693,555,214,25,34
55789,769,692,555,215,25,34
55920,769,693,555,215,25,34
56047,768,692,555,215,25,34
56178,769,693,555,214,25,34
56310,768,692,555,214,25,34
56440,769,692,555,214,25,34
56575,768,693,555,215,25,34
56706,769,693,555,214,25,34
56838,768,692,555,214,25,34
56968,769,693,555,215,25,34
57096,769,693,555,215,25,34
57227,769,693,554,214,25,34
57358,768,692,555,215,25,34
57489,769,693,555,214,25,34
57620,768,693,555,214,25,34
57755,769,693,556,215,25,34
57886,768,692,555,215,25,34
58017,768,693,555,214,25,34
58148,769,692,556,215,25,34
58275,769,693,555,214,25,34
58406,769,692,555,214,25,34
58538,768,693,555,215,25,34
58669,769,693,555,214,25,34
58800,768,692,554,214,25,34
58935,768,692,554,215,25,34
59066,768,693,555,215,25,34
59197,768,693,554,214,25,34
59324,769,692,555,214,25,34
59455,769,693,555,215,25,34
59586,769,692,555,215,25,34
59717,769,693,555,215,25,34
59848,768,692,555,214,25,34
59979,769,693,555,215,25,34
60114,768,693,555,215,25,34
60245,768,693,555,214,25,34
60376,768,693,555,215,25,34
60504,768,692,555,214,25,34
60635,769,693,555,215,25,34
60766,768,692,556,215,25,34
60897,768,692,555,214,25,34
61028,769,692,555,214,25,34
61159,768,693,555,214,25,34
61294,769,692,555,215,25,34
61425,768,693,555,214,25,34
61552,769,693,555,215,25,34
61683,769,693,555,215,25,34
61814,768,692,555,214,25,34
61945,769,693,555,214,25,34
62076,768,692,555,214,25,34
62207,769,693,555,214,25,34
62338,769,692,555,214,25,34
62474,769,693,555,214,25,34
62601,768,692,555,215,25,34
62732,768,692,555,215,25,34
