time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
38691,517,218,551,367,27,30
38827,516,218,550,367,27,30
38958,517,219,550,366,27,30
39088,517,219,550,367,27,30
39215,517,219,550,367,27,30
39347,516,218,550,367,27,30
39478,517,218,550,367,27,30
39609,517,219,551,367,27,30
39740,516,218,551,367,27,30
39871,516,219,550,368,27,30
40006,517,219,550,367,28,32
40137,517,219,550,367,28,32
40264,516,219,550,367,28,32
40395,517,218,550,367,28,32
40526,516,218,551,367,28,32
40657,516,218,550,368,28,32
40788,516,219,549,366,28,32
40919,516,218,550,367,28,32
41051,516,218,550,366,28,32
41186,516,219,549,367,28,31
41317,516,218,551,367,28,31
41444,516,218,550,367,28,31
41575,516,218,550,367,28,31
41706,517,218,550,366,28,31
41837,517,218,550,367,28,31
41968,516,218,550,366,28,31
42099,516,218,550,367,28,31
42230,517,218,551,366,28,31
42365,516,218,550,366,28,31
42496,516,218,550,366,28,31
42623,516,218,550,367,28,31
42754,517,218,550,367,28,31
42885,516,218,550,367,28,31
43016,516,218,549,367,28,31
43147,516,218,550,366,28,31
43279,516,218,550,367,28,31
43410,516,218,550,366,28,31
43545,516,218,549,367,28,31
43672,516,217,549,367,28,31
43803,516,218,550,366,28,31
43934,516,217,549,366,28,31
44065,516,218,550,367,28,31
44196,516,218,550,366,28,31
44327,516,218,549,366,28,31
44458,516,218,550,366,28,31
44589,516,218,549,366,28,31
44724,516,218,550,365,28,31
44852,516,217,550,365,28,31
44983,516,218,549,366,28,31
45113,516,218,550,366,28,31
45244,516,218,549,365,28,31
45375,516,217,550,365,28,31
45507,516,218,549,365,28,31
45638,516,217,550,365,28,31
45769,516,217,549,365,28,31
45904,515,217,549,364,28,31
46031,515,217,548,365,28,31
46162,515,217,550,365,28,31
46293,516,217,548,364,28,31
46424,516,217,549,364,28,31
46555,515,217,549,364,28,31
46686,516,217,548,364,28,31
46817,516,217,549,365,28,31
46948,516,216,549,364,28,31
47080,516,217,549,364,28,31
47211,516,217,549,363,28,31
47342,515,217,549,363,28,31
47472,515,216,548,364,28,31
47604,515,217,548,364,28,31
47735,515,216,548,364,28,31
47866,516,217,549,363,28,31
47997,515,217,549,362,28,31
48128,515,217,548,364,28,31
48259,515,216,548,364,28,31
48390,516,217,548,364,28,31
48521,516,216,549,363,28,31
48652,515,216,549,363,28,31
48783,515,217,549,363,28,31
48914,515,217,549,364,28,31
49045,515,216,548,363,28,31
49176,515,216,549,363,28,31
49307,515,216,549,363,28,31
49439,514,217,549,364,28,31
49570,515,216,548,364,28,31
49701,514,217,549,364,28,31
49832,515,217,549,364,28,31
49963,515,216,549,364,28,31
50094,515,217,548,363,28,31
50225,515,216,548,363,28,31
50356,515,216,547,365,28,31
50487,514,216,548,364,28,31
50618,515,216,549,364,27,30
50749,515,216,548,364,27,30
50881,515,216,548,363,27,30
51012,515,216,548,363,27,30
51142,514,216,548,364,27,30
51273,515,216,549,364,27,30
51405,515,216,548,364,27,30
51536,516,215,547,363,27,30
51667,514,216,548,364,27,30
51798,515,216,547,364,28,31
51929,514,217,548,364,28,31
52060,515,216,548,364,28,31
52191,515,216,547,364,28,31
52322,515,216,548,363,28,31
52453,515,215,547,363,28,31
52584,515,215,548,363,28,31
52715,514,216,548,363,28,31
52846,514,216,548,363,28,31
52977,515,216,548,364,28,32
53108,515,215,548,364,28,32
53239,515,216,548,363,28,32
53371,515,216,548,363,28,32
53501,515,215,548,363,28,32
53633,515,216,548,364,28,32
53764,514,215,548,364,28,32
53895,515,215,547,363,28,32
54022,515,215,547,363,28,32
54157,514,215,547,362,28,32
54288,514,216,547,363,28,32
54419,515,215,548,363,28,32
54550,514,215,547,362,28,32
54681,515,216,548,364,28,32
54812,514,216,547,362,28,32
54943,513,215,547,363,28,32
55070,514,216,548,362,28,32
55201,515,216,546,364,28,32
55337,514,215,547,363,28,32
55468,515,216,547,363,28,32
55599,515,215,548,364,28,32
55730,515,214,547,362,28,32
55861,515,215,547,362,28,32
55992,515,215,547,363,28,32
56119,514,215,547,364,28,32
56250,514,215,547,362,28,32
56381,515,215,547,362,28,32
56516,514,215,546,362,27,31
56647,514,215,547,364,27,31
56778,515,215,547,363,27,31
56909,515,215,546,363,27,31
57040,515,215,547,362,27,31
57171,514,215,547,363,27,31
57298,514,215,547,363,27,31
57429,514,215,547,363,27,31
57561,515,215,547,363,27,31
57696,514,215,546,363,28,31
57827,515,215,547,362,28,31
57958,514,215,547,363,28,31
58089,514,215,547,364,28,31
58220,514,215,546,363,28,31
58351,514,215,546,363,28,31
58478,514,214,547,364,28,31
58609,513,215,547,363,28,31
58740,514,215,547,363,28,31
58875,514,215,546,364,27,31
59006,514,215,547,362,27,31
59137,514,215,547,363,27,31
59268,514,215,546,362,27,31
59400,514,215,546,364,27,31
59527,513,215,547,362,27,31
59658,514,215,546,363,27,31
59789,515,215,546,364,27,31
59920,514,215,547,363,27,31
60055,514,214,546,364,28,31
60186,514,215,546,364,28,31
60317,514,215,546,363,28,31
60448,514,214,546,363,28,31
60579,514,214,546,364,28,31
60706,514,215,546,363,28,31
60837,514,214,546,363,28,31
