time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
31399,87,51,197,249,23,53,beer,1pilsner,roomjose
31636,87,52,197,245,23,54,beer,1pilsner,roomjose
31865,87,51,198,241,23,54,beer,1pilsner,roomjose
32095,86,51,197,238,23,54,beer,1pilsner,roomjose
32328,86,51,197,233,23,54,beer,1pilsner,roomjose
32558,86,51,197,231,23,54,beer,1pilsner,roomjose
32791,86,52,196,226,22,55,beer,1pilsner,roomjose
33021,86,51,196,222,22,55,beer,1pilsner,roomjose
33254,86,51,196,218,22,55,beer,1pilsner,roomjose
33483,85,51,196,214,22,55,beer,1pilsner,roomjose
33713,86,51,196,213,22,55,beer,1pilsner,roomjose
33946,84,51,196,212,23,55,beer,1pilsner,roomjose
34180,85,50,196,213,23,55,beer,1pilsner,roomjose
34409,85,51,196,212,23,55,beer,1pilsner,roomjose
34638,85,51,196,212,23,55,beer,1pilsner,roomjose
34873,85,51,197,213,23,55,beer,1pilsner,roomjose
35105,85,51,197,212,23,54,beer,1pilsner,roomjose
35335,85,52,196,216,23,54,beer,1pilsner,roomjose
35564,85,51,196,217,23,54,beer,1pilsner,roomjose
35797,85,51,197,221,23,54,beer,1pilsner,roomjose
36027,84,51,196,225,23,54,beer,1pilsner,roomjose
36261,85,52,196,229,22,54,beer,1pilsner,roomjose
36494,84,52,197,235,22,54,beer,1pilsner,roomjose
36723,84,52,197,239,22,54,beer,1pilsner,roomjose
36954,85,51,198,243,22,54,beer,1pilsner,roomjose
37186,84,51,197,249,22,54,beer,1pilsner,roomjose
37419,86,52,198,254,22,54,beer,1pilsner,roomjose
37649,85,52,198,257,22,54,beer,1pilsner,roomjose
37878,85,52,199,263,22,54,beer,1pilsner,roomjose
38111,85,52,198,266,22,54,beer,1pilsner,roomjose
38341,86,52,200,271,22,54,beer,1pilsner,roomjose
38574,86,52,200,273,22,53,beer,1pilsner,roomjose
38804,85,51,199,275,22,53,beer,1pilsner,roomjose
39040,85,52,199,277,22,53,beer,1pilsner,roomjose
39267,86,52,200,279,22,53,beer,1pilsner,roomjose
39496,86,52,200,279,22,53,beer,1pilsner,roomjose
39733,86,52,201,279,22,53,beer,1pilsner,roomjose
39975,85,52,200,279,22,53,beer,1pilsner,roomjose
40193,86,52,200,278,22,53,beer,1pilsner,roomjose
40422,86,52,200,278,22,53,beer,1pilsner,roomjose
40655,86,52,200,278,22,53,beer,1pilsner,roomjose
40888,86,52,200,279,22,53,beer,1pilsner,roomjose
41118,87,52,200,275,22,53,beer,1pilsner,roomjose
41351,86,52,200,272,22,53,beer,1pilsner,roomjose
41580,85,52,200,269,22,53,beer,1pilsner,roomjose
41810,86,52,200,267,22,53,beer,1pilsner,roomjose
42043,86,52,199,263,22,53,beer,1pilsner,roomjose
42277,86,52,199,259,22,53,beer,1pilsner,roomjose
42506,86,52,198,257,22,53,beer,1pilsner,roomjose
42736,86,51,199,254,22,53,beer,1pilsner,roomjose
42969,85,51,198,251,22,53,beer,1pilsner,roomjose
43202,86,52,199,249,22,53,beer,1pilsner,roomjose
43432,86,51,198,250,22,53,beer,1pilsner,roomjose
43673,85,52,198,248,22,53,beer,1pilsner,roomjose
43895,85,52,199,246,22,53,beer,1pilsner,roomjose
44127,85,51,198,247,22,53,beer,1pilsner,roomjose
44357,85,52,198,248,22,52,beer,1pilsner,roomjose
44590,86,52,199,248,22,52,beer,1pilsner,roomjose
44820,86,52,200,251,22,52,beer,1pilsner,roomjose
45049,85,52,200,253,22,52,beer,1pilsner,roomjose
45279,85,51,200,255,22,52,beer,1pilsner,roomjose
45516,86,52,200,259,22,52,beer,1pilsner,roomjose
45746,85,52,201,262,22,52,beer,1pilsner,roomjose
45975,86,52,200,267,22,52,beer,1pilsner,roomjose
46205,87,51,201,271,22,52,beer,1pilsner,roomjose
46438,86,52,200,273,22,52,beer,1pilsner,roomjose
46671,86,52,201,280,22,52,beer,1pilsner,roomjose
46901,86,52,200,282,22,52,beer,1pilsner,roomjose
47138,87,52,201,285,22,52,beer,1pilsner,roomjose
47363,86,52,200,287,22,52,beer,1pilsner,roomjose
47593,86,53,199,288,22,52,beer,1pilsner,roomjose
47826,87,53,199,286,22,52,beer,1pilsner,roomjose
48060,86,52,199,284,22,52,beer,1pilsner,roomjose
