time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
41799,36,25,112,92,23,42,air,1afterbeer,roomlect
42038,36,26,112,91,23,42,air,1afterbeer,roomlect
42270,36,26,112,91,23,42,air,1afterbeer,roomlect
42495,36,26,112,92,23,42,air,1afterbeer,roomlect
42725,36,26,112,92,23,42,air,1afterbeer,roomlect
42958,35,26,112,91,23,42,air,1afterbeer,roomlect
43192,36,26,111,91,23,42,air,1afterbeer,roomlect
43421,36,26,111,91,23,42,air,1afterbeer,roomlect
43654,36,26,111,91,23,42,air,1afterbeer,roomlect
43884,36,26,111,91,23,42,air,1afterbeer,roomlect
44113,36,26,111,91,23,42,air,1afterbeer,roomlect
44347,35,26,112,91,23,42,air,1afterbeer,roomlect
44580,36,26,111,91,23,42,air,1afterbeer,roomlect
44809,36,26,111,91,23,42,air,1afterbeer,roomlect
45039,36,25,111,91,23,42,air,1afterbeer,roomlect
45268,36,26,112,91,23,42,air,1afterbeer,roomlect
45506,36,26,112,91,23,42,air,1afterbeer,roomlect
45735,36,26,111,91,23,42,air,1afterbeer,roomlect
45965,36,25,111,91,23,42,air,1afterbeer,roomlect
46198,36,26,111,91,23,42,air,1afterbeer,roomlect
46430,36,25,111,91,23,42,air,1afterbeer,roomlect
46664,36,26,110,90,23,42,air,1afterbeer,roomlect
46890,36,25,110,90,23,42,air,1afterbeer,roomlect
47123,35,26,111,90,23,42,air,1afterbeer,roomlect
47353,36,26,111,90,23,42,air,1afterbeer,roomlect
47582,36,26,111,90,23,42,air,1afterbeer,roomlect
47817,36,25,111,90,23,42,air,1afterbeer,roomlect
48049,36,25,110,90,23,42,air,1afterbeer,roomlect
48278,36,26,111,90,23,42,air,1afterbeer,roomlect
48508,36,26,111,90,23,42,air,1afterbeer,roomlect
48737,35,26,111,90,23,42,air,1afterbeer,roomlect
48975,36,25,111,89,23,42,air,1afterbeer,roomlect
49204,35,26,110,90,23,42,air,1afterbeer,roomlect
49433,35,26,110,91,23,42,air,1afterbeer,roomlect
49667,36,26,111,90,23,42,air,1afterbeer,roomlect
49896,36,25,111,90,23,42,air,1afterbeer,roomlect
50130,36,26,110,90,23,42,air,1afterbeer,roomlect
50361,35,25,111,90,23,42,air,1afterbeer,roomlect
50592,36,26,111,90,23,42,air,1afterbeer,roomlect
50822,35,25,111,89,23,42,air,1afterbeer,roomlect
51051,36,26,111,90,23,42,air,1afterbeer,roomlect
51285,35,25,111,89,23,42,air,1afterbeer,roomlect
51518,36,26,110,90,23,42,air,1afterbeer,roomlect
51747,36,26,110,89,23,42,air,1afterbeer,roomlect
51977,36,26,109,90,23,42,air,1afterbeer,roomlect
52210,35,26,110,89,23,42,air,1afterbeer,roomlect
52444,35,26,111,90,23,42,air,1afterbeer,roomlect
52673,36,26,110,90,23,42,air,1afterbeer,roomlect
52903,36,25,110,90,23,42,air,1afterbeer,roomlect
53136,35,25,110,90,23,42,air,1afterbeer,roomlect
53365,35,26,109,89,23,42,air,1afterbeer,roomlect
53599,36,25,110,90,23,42,air,1afterbeer,roomlect
53828,36,26,110,90,23,42,air,1afterbeer,roomlect
54061,35,25,110,90,23,42,air,1afterbeer,roomlect
54291,35,26,109,90,23,42,air,1afterbeer,roomlect
54520,36,26,109,90,23,42,air,1afterbeer,roomlect
54754,35,26,109,90,23,42,air,1afterbeer,roomlect
54987,35,25,110,90,23,42,air,1afterbeer,roomlect
55217,35,25,110,89,23,42,air,1afterbeer,roomlect
55446,36,26,109,90,23,42,air,1afterbeer,roomlect
55679,35,26,109,90,23,42,air,1afterbeer,roomlect
55913,36,26,109,90,23,42,air,1afterbeer,roomlect
56142,35,25,109,90,23,42,air,1afterbeer,roomlect
56372,35,26,109,90,23,42,air,1afterbeer,roomlect
56605,34,26,110,90,23,42,air,1afterbeer,roomlect
56834,35,26,110,90,23,42,air,1afterbeer,roomlect
57068,35,26,109,89,23,42,air,1afterbeer,roomlect
57297,36,26,109,90,23,42,air,1afterbeer,roomlect
57530,36,26,110,90,23,42,air,1afterbeer,roomlect
57760,36,26,109,89,23,42,air,1afterbeer,roomlect
57989,36,26,109,90,23,42,air,1afterbeer,roomlect
58223,36,26,109,89,23,42,air,1afterbeer,roomlect
58456,35,26,109,89,23,42,air,1afterbeer,roomlect
58686,36,25,108,90,23,42,air,1afterbeer,roomlect
58915,35,25,108,90,23,42,air,1afterbeer,roomlect
59148,35,26,109,90,23,42,air,1afterbeer,roomlect
59386,35,25,109,89,23,42,air,1afterbeer,roomlect
59611,36,25,109,90,23,42,air,1afterbeer,roomlect
59841,35,25,109,90,23,42,air,1afterbeer,roomlect
60074,36,25,109,89,23,42,air,1afterbeer,roomlect
60303,35,26,109,89,23,42,air,1afterbeer,roomlect
60537,35,25,109,90,23,42,air,1afterbeer,roomlect
60768,35,25,109,89,23,42,air,1afterbeer,roomlect
60999,35,25,108,89,23,42,air,1afterbeer,roomlect
61229,35,26,109,89,23,42,air,1afterbeer,roomlect
61458,36,26,108,89,23,42,air,1afterbeer,roomlect
61692,36,26,109,90,23,42,air,1afterbeer,roomlect
61925,35,26,109,90,23,42,air,1afterbeer,roomlect
62155,35,26,109,90,23,42,air,1afterbeer,roomlect
62384,35,26,109,90,23,42,air,1afterbeer,roomlect
62617,36,26,109,90,23,42,air,1afterbeer,roomlect
62851,35,26,108,90,23,42,air,1afterbeer,roomlect
63080,35,26,108,90,23,42,air,1afterbeer,roomlect
63310,36,26,109,90,23,42,air,1afterbeer,roomlect
63543,36,25,108,90,23,42,air,1afterbeer,roomlect
63772,35,26,109,89,23,42,air,1afterbeer,roomlect
64006,36,26,109,90,23,42,air,1afterbeer,roomlect
64238,36,25,109,90,23,42,air,1afterbeer,roomlect
64469,35,26,108,90,23,42,air,1afterbeer,roomlect
64698,35,26,109,89,23,42,air,1afterbeer,roomlect
64928,36,26,109,90,23,42,air,1afterbeer,roomlect
65165,36,26,108,89,23,42,air,1afterbeer,roomlect
65394,36,25,109,90,23,42,air,1afterbeer,roomlect
65624,36,25,109,90,23,42,air,1afterbeer,roomlect
65853,36,25,109,90,23,42,air,1afterbeer,roomlect
66086,36,25,108,90,23,42,air,1afterbeer,roomlect
66320,36,25,108,90,23,42,air,1afterbeer,roomlect
66549,36,25,109,90,23,42,air,1afterbeer,roomlect
66779,35,26,109,89,23,42,air,1afterbeer,roomlect
67012,36,25,108,90,23,42,air,1afterbeer,roomlect
67241,36,26,108,90,23,42,air,1afterbeer,roomlect
67475,36,25,108,90,23,42,air,1afterbeer,roomlect
67708,36,26,109,90,23,42,air,1afterbeer,roomlect
67938,36,25,108,90,23,42,air,1afterbeer,roomlect
68167,36,25,109,89,23,42,air,1afterbeer,roomlect
68396,35,25,108,89,23,42,air,1afterbeer,roomlect
68634,36,25,108,89,23,42,air,1afterbeer,roomlect
68863,35,25,108,89,23,42,air,1afterbeer,roomlect
69093,35,25,108,89,23,42,air,1afterbeer,roomlect
69322,36,25,108,89,23,42,air,1afterbeer,roomlect
69555,36,25,108,89,23,42,air,1afterbeer,roomlect
69789,36,25,108,88,23,42,air,1afterbeer,roomlect
70018,36,26,107,89,23,42,air,1afterbeer,roomlect
70252,36,25,108,89,23,42,air,1afterbeer,roomlect
70481,35,26,108,89,23,42,air,1afterbeer,roomlect
70711,36,25,107,89,23,42,air,1afterbeer,roomlect
70944,35,25,108,89,23,42,air,1afterbeer,roomlect
71177,36,25,108,89,23,42,air,1afterbeer,roomlect
71407,35,25,108,89,23,42,air,1afterbeer,roomlect
71636,35,25,108,89,23,42,air,1afterbeer,roomlect
71866,35,25,108,88,23,42,air,1afterbeer,roomlect
72103,35,25,107,88,23,42,air,1afterbeer,roomlect
72332,36,24,108,89,23,42,air,1afterbeer,roomlect
72562,35,25,107,88,23,42,air,1afterbeer,roomlect
72795,35,25,107,88,23,42,air,1afterbeer,roomlect
73025,35,25,108,89,23,42,air,1afterbeer,roomlect
73258,35,26,108,89,23,42,air,1afterbeer,roomlect
73487,34,25,107,89,23,42,air,1afterbeer,roomlect
73721,35,25,108,89,23,42,air,1afterbeer,roomlect
73950,35,26,106,88,23,42,air,1afterbeer,roomlect
74181,35,25,108,89,23,42,air,1afterbeer,roomlect
74413,35,25,107,88,23,42,air,1afterbeer,roomlect
74646,35,25,108,89,23,42,air,1afterbeer,roomlect
74876,35,24,107,88,23,42,air,1afterbeer,roomlect
75105,36,25,107,87,23,42,air,1afterbeer,roomlect
75338,35,25,107,88,23,42,air,1afterbeer,roomlect
75572,35,26,107,88,23,42,air,1afterbeer,roomlect
75801,35,25,107,88,23,42,air,1afterbeer,roomlect
76032,35,25,107,88,23,42,air,1afterbeer,roomlect
76264,35,25,107,87,23,42,air,1afterbeer,roomlect
76494,35,25,107,88,23,42,air,1afterbeer,roomlect
76727,35,25,107,88,23,42,air,1afterbeer,roomlect
76958,35,25,107,88,23,42,air,1afterbeer,roomlect
77193,35,25,107,88,23,42,air,1afterbeer,roomlect
77419,34,25,107,88,23,42,air,1afterbeer,roomlect
77649,35,25,107,88,23,42,air,1afterbeer,roomlect
77882,35,25,107,88,23,42,air,1afterbeer,roomlect
78115,35,25,106,87,23,42,air,1afterbeer,roomlect
78345,34,25,107,88,23,42,air,1afterbeer,roomlect
78574,35,25,107,88,23,42,air,1afterbeer,roomlect
78807,34,24,107,88,23,42,air,1afterbeer,roomlect
79041,35,25,106,88,23,42,air,1afterbeer,roomlect
79273,35,25,107,88,23,42,air,1afterbeer,roomlect
79500,35,26,106,88,23,42,air,1afterbeer,roomlect
79733,35,26,107,88,23,42,air,1afterbeer,roomlect
79963,35,25,106,87,23,42,air,1afterbeer,roomlect
80196,34,25,106,88,23,42,air,1afterbeer,roomlect
80426,35,26,107,88,23,42,air,1afterbeer,roomlect
80659,35,25,107,88,23,42,air,1afterbeer,roomlect
80888,35,25,106,88,23,42,air,1afterbeer,roomlect
81118,35,25,106,88,23,42,air,1afterbeer,roomlect
81351,35,25,106,88,23,42,air,1afterbeer,roomlect
81584,34,25,106,88,23,42,air,1afterbeer,roomlect
81814,35,25,107,88,23,42,air,1afterbeer,roomlect
82043,35,25,107,88,23,42,air,1afterbeer,roomlect
82276,35,25,106,88,23,42,air,1afterbeer,roomlect
82510,35,25,106,88,23,42,air,1afterbeer,roomlect
82740,35,25,106,87,23,42,air,1afterbeer,roomlect
82969,35,24,106,88,23,42,air,1afterbeer,roomlect
83202,35,25,107,88,23,42,air,1afterbeer,roomlect
83432,34,25,107,88,23,42,air,1afterbeer,roomlect
83665,35,25,106,87,23,43,air,1afterbeer,roomlect
83895,35,25,106,88,23,43,air,1afterbeer,roomlect
84128,35,26,106,88,23,43,air,1afterbeer,roomlect
84357,35,25,106,88,23,43,air,1afterbeer,roomlect
84587,35,25,106,88,23,43,air,1afterbeer,roomlect
84820,35,26,106,88,23,43,air,1afterbeer,roomlect
85058,34,25,105,87,23,43,air,1afterbeer,roomlect
85283,35,25,105,88,23,43,air,1afterbeer,roomlect
85517,34,24,106,87,23,43,air,1afterbeer,roomlect
85746,34,25,106,87,23,43,air,1afterbeer,roomlect
85979,35,25,105,88,23,42,air,1afterbeer,roomlect
86209,34,25,106,87,23,42,air,1afterbeer,roomlect
86438,35,25,106,88,23,42,air,1afterbeer,roomlect
86673,35,25,105,87,23,42,air,1afterbeer,roomlect
86901,35,25,105,88,23,42,air,1afterbeer,roomlect
87134,34,25,105,88,23,42,air,1afterbeer,roomlect
87364,35,25,105,88,23,42,air,1afterbeer,roomlect
87597,34,25,106,87,23,42,air,1afterbeer,roomlect
87830,35,25,106,88,23,42,air,1afterbeer,roomlect
88056,34,25,106,87,23,42,air,1afterbeer,roomlect
88293,34,25,105,86,23,42,air,1afterbeer,roomlect
88522,35,25,105,87,23,42,air,1afterbeer,roomlect
88752,34,25,105,87,23,42,air,1afterbeer,roomlect
88981,34,25,106,88,23,42,air,1afterbeer,roomlect
89215,34,25,105,87,23,42,air,1afterbeer,roomlect
89448,35,25,105,88,23,42,air,1afterbeer,roomlect
89677,34,25,106,88,23,42,air,1afterbeer,roomlect
89907,34,25,105,88,23,42,air,1afterbeer,roomlect
90140,35,25,105,87,23,42,air,1afterbeer,roomlect
90370,35,25,105,88,23,42,air,1afterbeer,roomlect
90603,34,25,105,88,23,42,air,1afterbeer,roomlect
90832,35,25,105,88,23,42,air,1afterbeer,roomlect
91066,35,25,105,88,23,42,air,1afterbeer,roomlect
91295,35,25,105,87,23,42,air,1afterbeer,roomlect
91525,35,25,105,87,23,42,air,1afterbeer,roomlect
91762,35,25,105,87,23,42,air,1afterbeer,roomlect
91991,35,25,106,87,23,42,air,1afterbeer,roomlect
92221,34,25,105,88,23,42,air,1afterbeer,roomlect
92452,35,25,105,87,23,42,air,1afterbeer,roomlect
92684,34,25,105,87,23,42,air,1afterbeer,roomlect
92919,34,24,105,88,23,42,air,1afterbeer,roomlect
93148,34,25,104,88,23,42,air,1afterbeer,roomlect
93380,35,25,105,87,23,42,air,1afterbeer,roomlect
93609,35,24,105,87,23,42,air,1afterbeer,roomlect
93839,34,25,105,87,23,42,air,1afterbeer,roomlect
94072,34,25,105,88,23,42,air,1afterbeer,roomlect
94306,35,24,105,87,23,42,air,1afterbeer,roomlect
94535,34,25,104,87,23,42,air,1afterbeer,roomlect
94765,34,25,104,87,23,42,air,1afterbeer,roomlect
94994,35,25,104,87,23,42,air,1afterbeer,roomlect
95231,34,25,105,87,23,42,air,1afterbeer,roomlect
95461,35,25,104,88,23,42,air,1afterbeer,roomlect
95691,34,25,105,87,23,42,air,1afterbeer,roomlect
95921,34,25,105,88,23,42,air,1afterbeer,roomlect
96153,35,25,104,87,23,42,air,1afterbeer,roomlect
96389,34,24,105,88,23,42,air,1afterbeer,roomlect
96616,34,25,104,88,23,42,air,1afterbeer,roomlect
96849,34,25,105,87,23,42,air,1afterbeer,roomlect
97078,35,25,105,87,23,42,air,1afterbeer,roomlect
97308,35,25,105,87,23,42,air,1afterbeer,roomlect
97541,35,25,104,88,23,42,air,1afterbeer,roomlect
97775,34,25,104,88,23,42,air,1afterbeer,roomlect
98004,35,25,104,87,23,42,air,1afterbeer,roomlect
98233,34,24,104,87,23,42,air,1afterbeer,roomlect
98463,35,25,104,87,23,42,air,1afterbeer,roomlect
98700,34,25,104,88,23,42,air,1afterbeer,roomlect
98930,34,25,104,87,23,42,air,1afterbeer,roomlect
99159,35,25,104,88,23,42,air,1afterbeer,roomlect
99392,34,25,104,88,23,42,air,1afterbeer,roomlect
99622,34,25,104,88,23,42,air,1afterbeer,roomlect
